symbol,sector,current_price,day_change_pct,52w_low,52w_high,distance_pct,distance_from_high_pct,rsi,sma50,sma200,volume_ratio,trend,score,reasons
BIKAJI,Fast Moving Consumer Goods,669.05,2.96,592.55,818.7,12.91,18.28,53.54,643.37,704.35,2.87,Bullish,60,"Near 52W low, Above 50 DMA, Volume expansion"
VOLTAS,Consumer Durables,1230.7,-4.86,1186.8,1582.5,3.7,22.23,33.46,1378.01,1387.87,2.15,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
AADHARHFC,Financial Services,464.15,-2.24,411.3,547.8,12.85,15.27,38.64,476.29,490.96,1.36,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
TECHM,Information Technology,1370.5,2.02,1304.1,1854.0,5.09,26.08,40.49,1411.75,1489.32,2.09,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
POWERGRID,Power,305.85,1.36,247.22,324.95,23.71,5.88,43.99,305.48,281.97,1.1,Bullish,60,"RSI weak/oversold, Above 50 DMA, Above 200 DMA"
CHALET,Consumer Services,784.65,4.24,691.35,1080.8,13.5,27.4,54.16,758.44,876.68,4.65,Bullish,60,"Near 52W low, Above 50 DMA, Volume expansion"
ACMESOLAR,Power,276.0,-2.49,195.73,324.01,41.01,14.82,42.07,272.13,260.15,0.43,Bullish,60,"RSI weak/oversold, Above 50 DMA, Above 200 DMA"
PINELABS,Financial Services,152.48,-2.07,151.0,284.0,0.98,46.31,26.88,177.73,,4.03,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
HEG,Capital Goods,624.6,1.13,459.8,690.0,35.84,9.48,56.93,572.65,543.28,1.34,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
DATAPATTNS,Capital Goods,3876.5,-3.34,2131.0,4303.0,81.91,9.91,50.21,3572.28,2916.85,2.09,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
CROMPTON,Consumer Durables,301.95,4.5,217.4,359.55,38.89,16.02,70.71,255.93,274.89,2.67,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
GRASIM,Construction Materials,2933.8,-0.17,2501.9,3007.3,17.26,2.44,62.64,2740.95,2790.13,1.77,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
TATASTEEL,Metals & Mining,216.84,-1.94,149.8,224.4,44.75,3.37,58.21,204.06,183.03,1.34,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
ABDL,Fast Moving Consumer Goods,555.35,0.68,373.19,696.8,48.81,20.3,56.22,491.9,536.19,2.15,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
MANKIND,Healthcare,2503.0,1.66,1909.7,2715.43,31.07,7.82,73.36,2183.17,2295.06,2.06,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
ZYDUSLIFE,Healthcare,1011.7,2.02,835.5,1059.05,21.09,4.47,70.17,913.32,942.28,1.98,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
ADANIENT,Metals & Mining,2716.0,0.11,1753.0,2803.1,54.93,3.11,75.57,2163.12,2284.04,2.21,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
ATGL,Oil Gas & Consumable Fuels,616.25,0.6,462.8,798.0,33.16,22.78,52.26,572.71,587.73,1.88,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
ADANIGREEN,Power,1379.0,-2.54,765.0,1471.0,80.26,6.25,68.14,1062.51,1012.81,1.87,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
ADANIPORTS,Services,1795.1,1.22,1290.5,1823.9,39.1,1.58,69.59,1521.97,1461.66,1.59,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
DELHIVERY,Services,475.75,1.16,320.05,490.0,48.65,2.91,59.09,445.17,440.16,1.92,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
TIINDIA,Automobile and Auto Components,2850.3,1.77,2163.07,3417.01,31.77,16.58,48.21,2757.29,2815.68,1.38,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
LICHSGFIN,Financial Services,547.05,-2.38,458.9,635.31,19.21,13.89,47.57,530.16,546.48,1.59,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
KPIL,Construction,1257.6,2.53,1007.1,1335.6,24.87,5.84,56.04,1172.58,1195.35,3.38,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
MEDANTA,Healthcare,1242.5,2.52,956.0,1455.98,29.97,14.66,67.35,1094.92,1215.22,2.83,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
GESHIP,Services,1533.9,3.3,884.46,1642.7,73.43,6.62,55.66,1446.36,1166.43,9.37,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
GRAPHITE,Capital Goods,774.45,1.95,469.83,802.4,64.84,3.48,66.45,674.28,604.58,2.45,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
IPCALAB,Healthcare,1605.0,1.33,1251.6,1654.7,28.24,3.0,65.98,1519.92,1433.96,3.83,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
HONASA,Fast Moving Consumer Goods,354.0,0.31,248.4,364.7,42.51,2.93,63.69,319.24,293.24,2.02,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
