relative_scan_time,symbol,return_1m,return_3m,return_6m,nifty_1m_return,nifty_3m_return,nifty_6m_return,return_vs_nifty_1m,return_vs_nifty_3m,return_vs_nifty_6m,relative_strength_score,relative_strength_reasons,sector,industry,sector_rank,sector_count,sector_rank_pct
10.09.2026 at 02:35 PM IST,ULTRACEMCO,-6.53,-1.98,5.17,,,,0,0,0,10,Positive 6M return,Basic Materials,Building Materials,15.0,326,4.6
10.09.2026 at 02:35 PM IST,DOMS,-2.86,-4.06,3.82,,,,0,0,0,10,Positive 6M return,Industrials,Business Equipment & Supplies,15.0,414,3.62
10.09.2026 at 02:35 PM IST,WEALTH,-9.73,-14.16,-12.11,,,,0,0,0,0,,Financial Services,Capital Markets,16.0,215,7.44
10.09.2026 at 02:35 PM IST,TVSHLTD,-10.36,-3.68,-6.87,,,,0,0,0,0,,Consumer Cyclical,Auto Parts,17.0,372,4.57
10.09.2026 at 02:35 PM IST,IRCTC,-9.02,-9.79,-12.94,,,,0,0,0,0,,Unknown,Unknown,14.0,97,14.43
10.09.2026 at 02:35 PM IST,MAHEPC,-3.7,-5.71,-9.48,,,,0,0,0,0,,Industrials,Farm & Heavy Construction Machinery,17.0,414,4.11
10.09.2026 at 02:35 PM IST,IOB,-2.79,-3.64,0.55,,,,0,0,0,10,Positive 6M return,Financial Services,Banks - Regional,14.0,215,6.51
10.09.2026 at 02:35 PM IST,GUJENERGY,-10.64,-35.53,-32.1,,,,0,0,0,0,,Utilities,Utilities - Regulated Gas,10.0,38,26.32
10.09.2026 at 02:35 PM IST,IOC,-3.6,-6.0,-12.86,,,,0,0,0,0,,Energy,Oil & Gas Refining & Marketing,9.0,30,30.0
10.09.2026 at 02:35 PM IST,VASWANI,-8.49,-21.0,-14.12,,,,0,0,0,0,,Basic Materials,Steel,17.0,326,5.21
10.09.2026 at 02:35 PM IST,RAJMET,-2.1,-11.38,-11.14,,,,0,0,0,0,,Basic Materials,Copper,17.0,326,5.21
10.09.2026 at 02:35 PM IST,RCF,-9.35,-12.66,-6.77,,,,0,0,0,0,,Unknown,Unknown,14.0,97,14.43
10.09.2026 at 02:35 PM IST,DMART,-9.43,-12.27,-3.87,,,,0,0,0,0,,Consumer Defensive,Discount Stores,15.0,138,10.87
10.09.2026 at 02:35 PM IST,WEL,-44.65,-20.74,-46.14,,,,0,0,0,0,,Consumer Cyclical,"Furnishings, Fixtures & Appliances",17.0,372,4.57
10.09.2026 at 02:35 PM IST,JAICORPLTD,-5.67,-14.11,-5.97,,,,0,0,0,0,,Basic Materials,Specialty Chemicals,17.0,326,5.21
10.09.2026 at 02:35 PM IST,JINDALPHOT,-5.08,-8.1,-20.42,,,,0,0,0,0,,Financial Services,Asset Management,16.0,215,7.44
10.09.2026 at 02:35 PM IST,BRIGHOTEL,-5.05,-11.72,-3.77,,,,0,0,0,0,,Consumer Cyclical,Lodging,17.0,372,4.57
10.09.2026 at 02:35 PM IST,BSOFT,-11.8,-13.45,-22.08,,,,0,0,0,0,,Technology,Information Technology Services,14.0,153,9.15
10.09.2026 at 02:35 PM IST,BOHRAIND,-20.14,-27.13,-29.33,,,,0,0,0,0,,Basic Materials,Agricultural Inputs,17.0,326,5.21
10.09.2026 at 02:35 PM IST,MASFIN,-1.93,-2.03,-3.0,,,,0,0,0,0,,Financial Services,Credit Services,16.0,215,7.44
