range_scan_time,symbol,range_status,range_score,range_low,range_high,absolute_range_low,absolute_range_high,range_width_pct,absolute_range_width_pct,current_position_pct,upside_to_range_high_pct,downside_to_range_low_pct,inside_range_pct,lower_touch_days,upper_touch_days,range_stability_score,range_width_score,range_position_score,range_bounce_score,range_quality_risk_score,range_rsi,range_volume_ratio,range_breakdown_buffer_pct,range_breakout_buffer_pct,is_range_breakdown,is_range_breakout,range_reasons
26.05.2026 at 04:05 PM IST,DATAPATTNS,Wide / Volatile Range,50.0,2557.48,4081.7,2131.0,4303.0,59.6,101.92,100.0,-0.49,37.65,80.83,32,19,89.58,20.0,5,100,66.87,47.68,0.52,60.38,0.49,False,False,80.8% closes stayed inside robust range | Range width is 59.6% | Current position is 100.0% inside range | Upside to range high is -0.5% | Downside to range low is 37.6% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,MENONBE,Profit Booking Zone,60.04,106.51,137.23,101.5,159.9,28.85,57.54,100.0,-8.04,28.63,80.0,27,14,87.5,80.0,5,70,69.42,75.85,0.37,40.11,8.74,False,False,80.0% closes stayed inside robust range | Range width is 28.8% | Current position is 100.0% inside range | Upside to range high is -8.0% | Downside to range low is 28.6% | Stock is near upper band
26.05.2026 at 04:05 PM IST,BALAMINES,Wide / Volatile Range,48.1,1039.59,1464.52,968.1,1956.0,40.87,102.05,100.0,-21.83,44.51,80.0,25,14,87.5,20.0,5,70,69.86,69.3,0.4,80.21,27.92,False,False,80.0% closes stayed inside robust range | Range width is 40.9% | Current position is 100.0% inside range | Upside to range high is -21.8% | Downside to range low is 44.5% | Stock is near upper band
26.05.2026 at 04:05 PM IST,CAMS,Profit Booking Zone,68.24,649.07,779.45,611.4,844.9,20.09,38.19,95.16,0.82,16.05,80.0,20,33,87.5,100.0,5,85,82.45,33.97,0.46,19.12,-0.81,False,False,80.0% closes stayed inside robust range | Range width is 20.1% | Current position is 95.2% inside range | Upside to range high is 0.8% | Downside to range low is 16.0% | Stock is near upper band
26.05.2026 at 04:05 PM IST,LLOYDSME,Wide / Volatile Range,50.0,1151.61,1737.94,1042.9,1868.0,50.91,79.12,100.0,-6.24,37.88,80.0,23,22,87.5,20.0,5,85,67.13,59.86,1.43,60.97,6.66,False,True,80.0% closes stayed inside robust range | Range width is 50.9% | Current position is 100.0% inside range | Upside to range high is -6.2% | Downside to range low is 37.9% | Price is above upper range with elevated volume | Stock is near upper band
26.05.2026 at 04:05 PM IST,WEBELSOLAR,Wide / Volatile Range,50.0,56.9,110.66,50.4,128.31,94.5,154.58,100.0,-2.01,49.62,80.0,13,19,87.5,20.0,5,100,78.35,41.38,0.79,98.48,2.05,False,False,80.0% closes stayed inside robust range | Range width is 94.5% | Current position is 100.0% inside range | Upside to range high is -2.0% | Downside to range low is 49.6% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,VSTIND,Profit Booking Zone,70.42,216.75,258.76,200.0,286.78,19.38,43.39,98.06,0.32,15.97,80.0,20,47,87.5,100.0,5,100,81.94,51.74,0.49,19.01,-0.31,False,False,80.0% closes stayed inside robust range | Range width is 19.4% | Current position is 98.1% inside range | Upside to range high is 0.3% | Downside to range low is 16.0% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,AVALON,Wide / Volatile Range,45.91,858.15,1271.58,777.3,1558.6,48.18,100.51,100.0,-12.98,41.27,80.0,26,14,87.5,20.0,5,60,65.24,73.32,0.98,70.28,14.92,False,False,80.0% closes stayed inside robust range | Range width is 48.2% | Current position is 100.0% inside range | Upside to range high is -13.0% | Downside to range low is 41.3% | Stock is near upper band
26.05.2026 at 04:05 PM IST,DIFFNKG,Profit Booking Zone,63.14,251.41,323.88,216.8,348.0,28.82,60.52,100.0,-0.07,22.43,80.0,22,23,87.5,80.0,5,85,75.12,61.76,0.62,28.91,0.07,False,False,80.0% closes stayed inside robust range | Range width is 28.8% | Current position is 100.0% inside range | Upside to range high is -0.1% | Downside to range low is 22.4% | Stock is near upper band
26.05.2026 at 04:05 PM IST,SYRMA,Wide / Volatile Range,50.0,712.64,1019.16,634.5,1188.0,43.01,87.23,100.0,-3.61,32.6,80.0,31,16,87.5,20.0,5,100,73.76,49.64,0.41,48.36,3.74,False,False,80.0% closes stayed inside robust range | Range width is 43.0% | Current position is 100.0% inside range | Upside to range high is -3.6% | Downside to range low is 32.6% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,LINCOLN,Wide / Volatile Range,46.86,470.44,670.72,440.0,755.0,42.57,71.59,100.0,-10.27,37.06,80.0,33,17,87.5,20.0,5,70,61.59,66.66,0.35,58.88,11.44,False,False,80.0% closes stayed inside robust range | Range width is 42.6% | Current position is 100.0% inside range | Upside to range high is -10.3% | Downside to range low is 37.1% | Stock is near upper band
26.05.2026 at 04:05 PM IST,RISHABH,Profit Booking Zone,56.19,362.46,493.44,315.0,566.0,36.13,79.68,100.0,-6.91,31.62,80.0,17,22,87.5,50.0,5,85,68.77,57.15,1.07,46.23,7.42,False,False,80.0% closes stayed inside robust range | Range width is 36.1% | Current position is 100.0% inside range | Upside to range high is -6.9% | Downside to range low is 31.6% | Stock is near upper band
26.05.2026 at 04:05 PM IST,HONAUT,Profit Booking Zone,64.28,28318.5,34258.0,26220.0,36595.0,20.97,39.57,100.0,-3.69,20.39,80.0,20,38,87.5,100.0,5,70,71.02,71.14,1.16,25.61,3.83,False,False,80.0% closes stayed inside robust range | Range width is 21.0% | Current position is 100.0% inside range | Upside to range high is -3.7% | Downside to range low is 20.4% | Stock is near upper band
26.05.2026 at 04:05 PM IST,SIS,Profit Booking Zone,58.03,287.81,389.71,257.05,418.85,35.41,62.94,100.0,-2.18,27.76,80.0,24,15,87.5,50.0,5,100,66.03,53.97,0.26,38.43,2.23,False,False,80.0% closes stayed inside robust range | Range width is 35.4% | Current position is 100.0% inside range | Upside to range high is -2.2% | Downside to range low is 27.8% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,GNFC,Profit Booking Zone,65.08,412.16,502.39,365.0,552.0,21.89,51.23,100.0,-2.87,20.32,80.0,16,39,87.5,100.0,5,75,71.36,55.42,0.3,25.5,2.96,False,False,80.0% closes stayed inside robust range | Range width is 21.9% | Current position is 100.0% inside range | Upside to range high is -2.9% | Downside to range low is 20.3% | Stock is near upper band
26.05.2026 at 04:05 PM IST,NESTLEIND,Profit Booking Zone,65.27,1209.06,1441.71,1159.4,1498.1,19.24,29.21,94.36,0.92,15.37,80.0,35,24,87.5,100.0,5,70,77.66,28.94,0.84,18.16,-0.91,False,False,80.0% closes stayed inside robust range | Range width is 19.2% | Current position is 94.4% inside range | Upside to range high is 0.9% | Downside to range low is 15.4% | Stock is near upper band
