scan_time,symbol,sector,industry,current_price,day_change_pct,52w_low,52w_high,distance_pct,distance_from_high_pct,rsi,sma50,sma200,avg_volume_20,latest_volume,volume_ratio,trend,trend_score,momentum_score,reversal_score,volume_score,risk_penalty,conviction_score,score,reasons
29.08.2026 at 02:41 AM IST,HINDCOMPOS,Unknown,Unknown,409.45,0.29,347.1,550.0,17.96,25.55,41.01,426.76,425.51,3664.75,1894.0,0.52,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,KARMAENG,Unknown,Unknown,38.05,0.13,34.38,73.7,10.67,48.37,44.18,39.53,44.42,6202.4,410.0,0.07,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,DEVIT,Unknown,Unknown,24.86,-2.36,22.25,47.88,11.73,48.08,36.52,26.9,30.45,39140.95,34292.0,0.88,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,SMLT,Unknown,Unknown,67.6,-1.24,56.61,122.85,19.41,44.97,44.74,68.92,75.47,7917.1,5180.0,0.65,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,INTELLECT,Information Technology,Unknown,678.3,-0.83,589.52,1232.73,15.06,44.98,35.47,727.34,791.1,425955.6,183882.0,0.43,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,GOYALALUM,Unknown,Unknown,6.33,-0.47,5.34,11.37,18.54,44.33,40.93,6.61,6.9,57874.75,50418.0,0.87,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,BEDMUTHA,Unknown,Unknown,106.04,-1.17,94.55,154.9,12.15,31.54,41.47,109.82,113.86,3609.65,2151.0,0.6,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,DRCSYSTEMS,Unknown,Unknown,12.79,0.24,11.5,23.68,11.22,45.99,42.94,13.49,15.32,53082.85,15496.0,0.29,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,AQYLON,Unknown,Unknown,23.27,-2.84,20.87,1714.9,11.5,98.64,36.19,31.98,316.74,3987196.05,4774267.0,1.2,Bearish,0,8,15,5,20,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Normal volume support, Below 200 DMA risk, Very far from 52W high"
29.08.2026 at 02:41 AM IST,STANLEY,Unknown,Unknown,137.98,0.71,123.0,320.45,12.18,56.94,39.24,149.64,169.01,126105.65,76157.0,0.6,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,DCMSIL,Unknown,Unknown,73.26,-2.64,49.22,104.67,48.85,30.01,42.92,76.73,,81928.55,60094.0,0.73,Bearish,0,8,0,0,0,8,8,Weak but watchable RSI
29.08.2026 at 02:41 AM IST,COCKERILL,Unknown,Unknown,8089.5,0.81,5015.25,10871.5,61.3,25.59,41.1,8917.89,,16112.8,4588.0,0.28,Bearish,0,8,0,0,0,8,8,Weak but watchable RSI
