symbol,company_name,series,isin,sector,industry
ELECON,Elecon Engineering Company Limited,EQ,INE205B01031,Unknown,Unknown
ELECTCAST,Electrosteel Castings Limited,EQ,INE086A01029,Unknown,Unknown
ELECTHERM,Electrotherm (India) Limited,EQ,INE822G01016,Unknown,Unknown
ELGIEQUIP,Elgi Equipments Limited,EQ,INE285A01027,Industrials,Specialty Industrial Machinery
ELGIRUBCO,Elgi Rubber Company Limited,EQ,INE819L01012,Unknown,Unknown
ELIN,Elin Electronics Limited,EQ,INE050401020,Unknown,Unknown
ELITECON,Elitecon International Limited,EQ,INE669R01026,Unknown,Unknown
ELLEN,Ellenbarrie Industrial Gases Limited,EQ,INE236E01022,Unknown,Unknown
ELPROINTL,Elpro International Limited,EQ,INE579B01039,Unknown,Unknown
EMAMILTD,Emami Limited,EQ,INE548C01032,Unknown,Unknown
EMAMIPAP,Emami Paper Mills Limited,EQ,INE830C01026,Unknown,Unknown
EMBDL,Embassy Developments Limited,EQ,INE069I01010,Unknown,Unknown
EMCURE,Emcure Pharmaceuticals Limited,EQ,INE168P01015,Healthcare,Drug Manufacturers - Specialty & Generic
EMIL,Electronics Mart India Limited,EQ,INE02YR01019,Consumer Cyclical,Specialty Retail
EMKAY,Emkay Global Financial Services Limited,EQ,INE296H01011,Unknown,Unknown
EMMBI,Emmbi Industries Limited,EQ,INE753K01015,Unknown,Unknown
EMMVEE,Emmvee Photovoltaic Power Limited,EQ,INE1C6T01020,Technology,Solar
EMSLIMITED,EMS Limited,EQ,INE0OV601013,Unknown,Unknown
EMUDHRA,eMudhra Limited,EQ,INE01QM01018,Unknown,Unknown
ENDURANCE,Endurance Technologies Limited,EQ,INE913H01037,Unknown,Unknown
ENERGYDEV,Energy Development Company Limited,EQ,INE306C01019,Unknown,Unknown
ENGINERSIN,Engineers India Limited,EQ,INE510A01028,Industrials,Engineering & Construction
ENIL,Entertainment Network (India) Limited,EQ,INE265F01028,Unknown,Unknown
ENRIN,Siemens Energy India Limited,EQ,INE1NPP01017,Utilities,Utilities - Renewable
ENTERO,Entero Healthcare Solutions Limited,EQ,INE010601016,Healthcare,Medical Distribution
EPACK,EPACK Durable Limited,EQ,INE0G5901015,Unknown,Unknown
EPACKPEB,EPack Prefab Technologies Limited,EQ,INE0MLS01022,Industrials,Engineering & Construction
EPIGRAL,Epigral Limited,EQ,INE071N01016,Unknown,Unknown
EPL,EPL Limited,EQ,INE255A01020,Consumer Cyclical,Packaging & Containers
EQUITASBNK,Equitas Small Finance Bank Limited,EQ,INE063P01018,Financial Services,Banks - Regional
ERIS,Eris Lifesciences Limited,EQ,INE406M01024,Healthcare,Drug Manufacturers - Specialty & Generic
ESABINDIA,Esab India Limited,EQ,INE284A01012,Industrials,Tools & Accessories
ESAFSFB,ESAF Small Finance Bank Limited,EQ,INE818W01011,Financial Services,Banks - Regional
ESCORTS,Escorts Kubota Limited,EQ,INE042A01014,Industrials,Farm & Heavy Construction Machinery
ESSARSHPNG,Essar Shipping Limited,EQ,INE122M01019,Unknown,Unknown
ESSENTIA,Integra Essentia Limited,EQ,INE418N01035,Consumer Defensive,Food Distribution
ESTER,Ester Industries Limited,EQ,INE778B01029,Unknown,Unknown
ETERNAL,ETERNAL LIMITED,EQ,INE758T01015,Unknown,Unknown
ETHOSLTD,Ethos Limited,EQ,INE04TZ01018,Unknown,Unknown
EUREKAFORB,Eureka Forbes Limited,EQ,INE0KCE01017,Unknown,Unknown
EUROBOND,Euro Panel Products Limited,EQ,INE505V01016,Unknown,Unknown
EUROPRATIK,Euro Pratik Sales Limited,EQ,INE198501012,Basic Materials,Building Materials
