symbol,sector,industry
CAPILLARY,Technology,Software - Infrastructure
AURUM,Real Estate,Real Estate Services
APEX,Consumer Defensive,Farm Products
ALGOQUANT,Financial Services,Capital Markets
GICRE,Financial Services,Insurance - Reinsurance
JETFREIGHT,Industrials,Integrated Freight & Logistics
NSLNISP,Basic Materials,Steel
BLUSPRING,Industrials,Specialty Business Services
DWARKESH,Consumer Defensive,Confectioners
ASTEC,Basic Materials,Agricultural Inputs
PASHUPATI,Consumer Cyclical,Textile Manufacturing
SANGAMIND,Consumer Cyclical,Textile Manufacturing
IGPL,Basic Materials,Chemicals
STARHEALTH,Financial Services,Insurance - Life
JBMA,Consumer Cyclical,Auto Parts
BHAGCHEM,Basic Materials,Agricultural Inputs
AARTIIND,Basic Materials,Specialty Chemicals
DELHIVERY,Industrials,Integrated Freight & Logistics
SINDHUTRAD,Industrials,Conglomerates
UTTAMSUGAR,Consumer Defensive,Confectioners
JUBLINGREA,Basic Materials,Specialty Chemicals
REDTAPE,Consumer Cyclical,Footwear & Accessories
CARTRADE,Consumer Cyclical,Auto & Truck Dealerships
KMSUGAR,Consumer Defensive,Confectioners
ASIANPAINT,Basic Materials,Specialty Chemicals
JPOLYINVST,Financial Services,Asset Management
FOCUS,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
KARURVYSYA,Financial Services,Banks - Regional
SPANDANA,Financial Services,Credit Services
KSHINTL,Industrials,Electrical Equipment & Parts
UNITEDPOLY,Consumer Cyclical,Textile Manufacturing
BANSWRAS,Consumer Cyclical,Textile Manufacturing
MIDWESTLTD,Basic Materials,Building Materials
GEECEE,Real Estate,Real Estate - Development
JLHL,Healthcare,Medical Care Facilities
FSL,Technology,Information Technology Services
PITTIENG,Industrials,Metal Fabrication
VIDYAWIRES,Industrials,Electrical Equipment & Parts
LUMAXIND,Consumer Cyclical,Auto Parts
TSFINV,Financial Services,Asset Management
RSWM,Consumer Cyclical,Textile Manufacturing
VISAKAIND,Industrials,Building Products & Equipment
STYL,Technology,Software - Infrastructure
ORKLAINDIA,Consumer Defensive,Packaged Foods
SUKHJITS,Basic Materials,Specialty Chemicals
AARVI,Industrials,Staffing & Employment Services
MUNJALAU,Consumer Cyclical,Auto Parts
FOSECOIND,Basic Materials,Chemicals
DEEPAKFERT,Basic Materials,Chemicals
RAJRATAN,Basic Materials,Steel
PREMEXPLN,Basic Materials,Specialty Chemicals
AHCL,Healthcare,Drug Manufacturers - Specialty & Generic
MMFL,Industrials,Metal Fabrication
PTC,Utilities,Utilities - Independent Power Producers
KSL,Basic Materials,Steel
GVPIL,Industrials,Engineering & Construction
SARLAPOLY,Consumer Cyclical,Textile Manufacturing
SMLMAH,Consumer Cyclical,Auto Manufacturers
SARDAEN,Basic Materials,Steel
ROSSTECH,Industrials,Aerospace & Defense
LT,Industrials,Engineering & Construction
LTTS,Technology,Information Technology Services
HARRMALAYA,Consumer Defensive,Farm Products
BHARATWIRE,Basic Materials,Steel
LUMAXTECH,Consumer Cyclical,Auto Parts
SHRINGARMS,Consumer Cyclical,Luxury Goods
RITCO,Industrials,Integrated Freight & Logistics
ARVSMART,Real Estate,Real Estate - Development
LUXIND,Consumer Cyclical,Apparel Manufacturing
ALKYLAMINE,Basic Materials,Specialty Chemicals
SAMBHV,Basic Materials,Steel
NOCIL,Basic Materials,Specialty Chemicals
MANAKALUCO,Basic Materials,Aluminum
LOTUSDEV,Industrials,Engineering & Construction
HEXT,Technology,Information Technology Services
TRIVENI,Consumer Defensive,Confectioners
MOTOGENFIN,Real Estate,Real Estate Services
JAGSNPHARM,Healthcare,Drug Manufacturers - Specialty & Generic
BUILDPRO,Consumer Cyclical,Home Improvement Retail
TITAN,Consumer Cyclical,Luxury Goods
RACLGEAR,Consumer Cyclical,Auto Parts
DAVANGERE,Consumer Defensive,Confectioners
MEDIASSIST,Healthcare,Healthcare Plans
KAPSTON,Industrials,Specialty Business Services
DIVGIITTS,Consumer Cyclical,Auto Parts
UGARSUGAR,Consumer Defensive,Confectioners
GMRP&UI,Energy,Thermal Coal
BRIGHOTEL,Consumer Cyclical,Lodging
BERGEPAINT,Basic Materials,Specialty Chemicals
TEAMGTY,Financial Services,Asset Management
JAYAGROGN,Basic Materials,Specialty Chemicals
GATECHDVR,Financial Services,Asset Management
TEXINFRA,Real Estate,Real Estate Services
SHRIRAMFIN,Financial Services,Credit Services
EASEMYTRIP,Consumer Cyclical,Travel Services
IVALUE,Technology,Information Technology Services
AEQUS,Industrials,Aerospace & Defense
LATENTVIEW,Industrials,Consulting Services
ALLDIGI,Industrials,Specialty Business Services
SILVERTUC,Technology,Information Technology Services
MAHLOG,Industrials,Integrated Freight & Logistics
GANESHCP,Consumer Defensive,Packaged Foods
BMWVENTLTD,Basic Materials,Steel
JGCHEM,Basic Materials,Other Industrial Metals & Mining
PATELRMART,Consumer Cyclical,Department Stores
TIINDIA,Industrials,Conglomerates
ENDURANCE,Consumer Cyclical,Auto Parts
RKFORGE,Industrials,Metal Fabrication
RICOAUTO,Consumer Cyclical,Auto Parts
WSTCSTPAPR,Basic Materials,Paper & Paper Products
SHIVATEX,Consumer Cyclical,Textile Manufacturing
BUTTERFLY,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
DCBBANK,Financial Services,Banks - Regional
TECHM,Technology,Information Technology Services
DMCC,Basic Materials,Chemicals
LTF,Financial Services,Credit Services
AVANTIFEED,Consumer Defensive,Packaged Foods
NATHBIOGEN,Basic Materials,Agricultural Inputs
BAJAJHLDNG,Financial Services,Asset Management
HDFCAMC,Financial Services,Asset Management
LINDEINDIA,Basic Materials,Specialty Chemicals
MOSCHIP,Technology,Semiconductor Equipment & Materials
MODIRUBBER,Real Estate,Real Estate Services
BBTC,Consumer Defensive,Packaged Foods
MADHUCON,Industrials,Engineering & Construction
TENNIND,Consumer Cyclical,Auto Parts
NTPCGREEN,Utilities,Utilities - Renewable
HCG,Healthcare,Medical Care Facilities
RUBYMILLS,Consumer Cyclical,Textile Manufacturing
DOLATALGO,Financial Services,Capital Markets
BELRISE,Consumer Cyclical,Auto Parts
JINDALSAW,Basic Materials,Steel
SHILCTECH,Industrials,Electrical Equipment & Parts
ONWARDTEC,Technology,Information Technology Services
MANYAVAR,Consumer Cyclical,Apparel Manufacturing
NELCAST,Industrials,Metal Fabrication
TORNTPOWER,Utilities,Utilities - Independent Power Producers
GLOTTIS,Industrials,Integrated Freight & Logistics
SHAHALLOYS,Basic Materials,Steel
MPHASIS,Technology,Information Technology Services
DYNAMATECH,Consumer Cyclical,Auto Parts
CONSOFINVT,Financial Services,Capital Markets
OAL,Basic Materials,Specialty Chemicals
IONEXCHANG,Industrials,Pollution & Treatment Controls
FINKURVE,Financial Services,Credit Services
KSOLVES,Technology,Software - Application
INDHOTEL,Consumer Cyclical,Lodging
NIBL,Industrials,Tools & Accessories
MODIS,Real Estate,Real Estate - Development
AGI,Consumer Cyclical,Packaging & Containers
PROZONER,Real Estate,Real Estate - Diversified
TCS,Technology,Information Technology Services
HINDPETRO,Energy,Oil & Gas Refining & Marketing
TATAPOWER,Utilities,Utilities - Independent Power Producers
HEROMOTOCO,Consumer Cyclical,Auto Manufacturers
MASTEK,Technology,Information Technology Services
UJJIVANSFB,Financial Services,Banks - Regional
VIMTALABS,Healthcare,Diagnostics & Research
DALMIASUG,Consumer Defensive,Confectioners
EPL,Consumer Cyclical,Packaging & Containers
ICIL,Consumer Cyclical,Textile Manufacturing
RHL,Consumer Cyclical,Lodging
NRAIL,Basic Materials,Paper & Paper Products
ORCHPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic
INFY,Technology,Information Technology Services
STEELXIND,Basic Materials,Steel
ESAFSFB,Financial Services,Banks - Regional
NORBTEAEXP,Consumer Defensive,Farm Products
AMANTA,Healthcare,Drug Manufacturers - Specialty & Generic
JAINREC,Basic Materials,Other Industrial Metals & Mining
ORICONENT,Consumer Cyclical,Packaging & Containers
IFCI,Financial Services,Credit Services
KANSAINER,Basic Materials,Specialty Chemicals
TRENT,Consumer Cyclical,Apparel Retail
SUNDRMFAST,Consumer Cyclical,Auto Parts
VMM,Consumer Cyclical,Department Stores
SWARAJENG,Consumer Cyclical,Auto Parts
WELENT,Industrials,Engineering & Construction
CIPLA,Healthcare,Drug Manufacturers - Specialty & Generic
REPCOHOME,Financial Services,Mortgage Finance
AMNPLST,Basic Materials,Chemicals
ANUHPHR,Healthcare,Drug Manufacturers - Specialty & Generic
EPIGRAL,Basic Materials,Chemicals
KPITTECH,Technology,Software - Infrastructure
LENSKART,Healthcare,Medical Instruments & Supplies
UNIVASTU,Industrials,Engineering & Construction
PFC,Financial Services,Credit Services
SOLARWORLD,Technology,Solar
KOTHARIPET,Basic Materials,Specialty Chemicals
EFCIL,Real Estate,Real Estate Services
INFOBEAN,Technology,Software - Application
GALLANTT,Basic Materials,Steel
VIKRAMSOLR,Technology,Solar
ADVANCE,Basic Materials,Agricultural Inputs
SUTLEJTEX,Consumer Cyclical,Textile Manufacturing
CCAVENUE,Technology,Software - Infrastructure
MUTHOOTMF,Financial Services,Credit Services
APLLTD,Healthcare,Drug Manufacturers - Specialty & Generic
BHARTIHEXA,Communication Services,Telecom Services
PANACHE,Technology,Communication Equipment
CHALET,Consumer Cyclical,Lodging
AXISBANK,Financial Services,Banks - Regional
GINNIFILA,Consumer Cyclical,Textile Manufacturing
KALAMANDIR,Consumer Cyclical,Apparel Retail
KPEL,Industrials,Engineering & Construction
WAAREEENER,Technology,Solar
TATAELXSI,Technology,Software - Application
STOVEKRAFT,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
HGM,Technology,Information Technology Services
KAJARIACER,Industrials,Building Products & Equipment
WIPRO,Technology,Information Technology Services
XPROINDIA,Basic Materials,Specialty Chemicals
SONATSOFTW,Technology,Information Technology Services
GANESHHOU,Real Estate,Real Estate - Development
FAZE3Q,Consumer Cyclical,Textile Manufacturing
AYMSYNTEX,Consumer Cyclical,Textile Manufacturing
MGEL,Consumer Defensive,Farm Products
NKIND,Consumer Defensive,Household & Personal Products
HINDUNILVR,Consumer Defensive,Household & Personal Products
GTLINFRA,Technology,Communication Equipment
ORIENTELEC,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
ERIS,Healthcare,Drug Manufacturers - Specialty & Generic
AMRUTANJAN,Healthcare,Drug Manufacturers - Specialty & Generic
SECMARK,Industrials,Consulting Services
BSOFT,Technology,Information Technology Services
KFINTECH,Technology,Software - Application
DABUR,Consumer Defensive,Household & Personal Products
PWL,Consumer Defensive,Education & Training Services
SUPREMEIND,Industrials,Building Products & Equipment
ESCORTS,Industrials,Farm & Heavy Construction Machinery
SGIL,Industrials,Metal Fabrication
STEELCITY,Financial Services,Capital Markets
IRMENERGY,Utilities,Utilities - Regulated Gas
MEESHO,Consumer Cyclical,Internet Retail
IPL,Basic Materials,Agricultural Inputs
ELLEN,Basic Materials,Chemicals
ALLTIME,Consumer Defensive,Household & Personal Products
SALONA,Consumer Cyclical,Textile Manufacturing
PFIZER,Healthcare,Drug Manufacturers - General
BAFNAPH,Healthcare,Drug Manufacturers - Specialty & Generic
MAANALU,Basic Materials,Aluminum
SHAH,Basic Materials,Steel
MBEL,Industrials,Engineering & Construction
KPIGREEN,Utilities,Utilities - Renewable
PALASHSECU,Consumer Defensive,Packaged Foods
UNIONBANK,Financial Services,Banks - Regional
PETRONET,Energy,Oil & Gas Refining & Marketing
INTLCONV,Industrials,Specialty Industrial Machinery
SHRIPISTON,Consumer Cyclical,Auto Parts
VENTIVE,Consumer Cyclical,Lodging
GHCL,Basic Materials,Chemicals
SFL,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
MOKSH,Consumer Cyclical,Luxury Goods
PLASTIBLEN,Basic Materials,Specialty Chemicals
VIDHIING,Basic Materials,Specialty Chemicals
UNITDSPR,Consumer Defensive,Beverages - Wineries & Distilleries
CANHLIFE,Financial Services,Insurance - Life
UTIAMC,Financial Services,Asset Management
MRF,Consumer Cyclical,Auto Parts
KSB,Industrials,Specialty Industrial Machinery
AURIONPRO,Technology,Software - Application
HUBTOWN,Real Estate,Real Estate - Development
GSFC,Basic Materials,Agricultural Inputs
HCLTECH,Technology,Information Technology Services
JINDALPOLY,Consumer Cyclical,Packaging & Containers
PAUSHAKLTD,Basic Materials,Specialty Chemicals
TATAINVEST,Financial Services,Asset Management
OSWALPUMPS,Industrials,Electrical Equipment & Parts
SYNGENE,Healthcare,Diagnostics & Research
MSUMI,Consumer Cyclical,Auto Parts
ORIENTHOT,Consumer Cyclical,Lodging
HAL,Industrials,Aerospace & Defense
TEAMLEASE,Industrials,Staffing & Employment Services
TATACAP,Financial Services,Asset Management
APTUS,Financial Services,Mortgage Finance
QUESS,Industrials,Staffing & Employment Services
GNA,Consumer Cyclical,Auto Parts
BHARATCOAL,Basic Materials,Coking Coal
TMPV,Consumer Cyclical,Auto Manufacturers
M&M,Consumer Cyclical,Auto Manufacturers
ELECON,Industrials,Specialty Industrial Machinery
ECLERX,Technology,Information Technology Services
ROSSARI,Basic Materials,Specialty Chemicals
MITTAL,Consumer Cyclical,Textile Manufacturing
SRF,Industrials,Conglomerates
GREENPLY,Basic Materials,Lumber & Wood Production
JAYKAY,Industrials,Specialty Business Services
STUDDS,Consumer Cyclical,Auto Parts
AEGISLOG,Energy,Oil & Gas Refining & Marketing
CONTROLPR,Industrials,Business Equipment & Supplies
MAXHEALTH,Healthcare,Medical Care Facilities
SUMEETINDS,Consumer Cyclical,Textile Manufacturing
REDINGTON,Technology,Information Technology Services
AWL,Consumer Defensive,Packaged Foods
BLS,Industrials,Specialty Business Services
VAIBHAVGBL,Consumer Cyclical,Luxury Goods
SHAREINDIA,Financial Services,Capital Markets
GALAXYSURF,Basic Materials,Specialty Chemicals
SHIVAUM,Basic Materials,Steel
GODREJCP,Consumer Defensive,Household & Personal Products
DCAL,Healthcare,Biotechnology
CHAMBLFERT,Basic Materials,Agricultural Inputs
CDSL,Financial Services,Capital Markets
INDIASHLTR,Financial Services,Mortgage Finance
BRITANNIA,Consumer Defensive,Packaged Foods
PATINTLOG,Industrials,Integrated Freight & Logistics
EXCELINDUS,Basic Materials,Specialty Chemicals
INDIAMART,Communication Services,Internet Content & Information
PKTEA,Consumer Defensive,Farm Products
PGHL,Healthcare,Drug Manufacturers - Specialty & Generic
SRM,Industrials,Engineering & Construction
STARTECK,Financial Services,Credit Services
BHARTIARTL,Communication Services,Telecom Services
CENTENKA,Consumer Cyclical,Textile Manufacturing
UPL,Basic Materials,Agricultural Inputs
DAMODARIND,Consumer Cyclical,Textile Manufacturing
ANANTRAJ,Real Estate,Real Estate - Development
LGEINDIA,Technology,Consumer Electronics
CRISIL,Financial Services,Financial Data & Stock Exchanges
INDBANK,Financial Services,Capital Markets
TECHNOE,Industrials,Engineering & Construction
AADHARHFC,Financial Services,Mortgage Finance
DLF,Real Estate,Real Estate - Development
INOXGREEN,Utilities,Utilities - Renewable
THELEELA,Consumer Cyclical,Lodging
GARUDA,Industrials,Engineering & Construction
APTECHT,Consumer Defensive,Education & Training Services
FUSION,Financial Services,Credit Services
ALMONDZ,Financial Services,Capital Markets
KRBL,Consumer Defensive,Packaged Foods
MARUTI,Consumer Cyclical,Auto Manufacturers
VINCOFE,Consumer Defensive,Beverages - Non-Alcoholic
MANUGRAPH,Industrials,Specialty Industrial Machinery
BIKAJI,Consumer Defensive,Packaged Foods
EVEREADY,Industrials,Electrical Equipment & Parts
RAMCOIND,Industrials,Building Products & Equipment
ADVENTHTL,Consumer Cyclical,Lodging
GREAVESCOT,Industrials,Specialty Industrial Machinery
ASPINWALL,Consumer Defensive,Farm Products
CASTROLIND,Energy,Oil & Gas Refining & Marketing
SPLPETRO,Basic Materials,Specialty Chemicals
INDIQUBE,Real Estate,Real Estate Services
HBLENGINE,Industrials,Electrical Equipment & Parts
ITC,Consumer Defensive,Tobacco
DATAMATICS,Technology,Information Technology Services
UEL,Technology,Solar
AEGISVOPAK,Energy,Oil & Gas Equipment & Services
PSPPROJECT,Industrials,Engineering & Construction
SHARDAMOTR,Consumer Cyclical,Auto Parts
EIMCOELECO,Industrials,Farm & Heavy Construction Machinery
SPECIALITY,Consumer Cyclical,Restaurants
APLAPOLLO,Basic Materials,Steel
ALEMBICLTD,Real Estate,Real Estate - Development
CHEMCON,Basic Materials,Specialty Chemicals
CLEAN,Basic Materials,Specialty Chemicals
AGARWALEYE,Healthcare,Medical Instruments & Supplies
TARIL,Industrials,Electrical Equipment & Parts
VINATIORGA,Basic Materials,Specialty Chemicals
NAHARCAP,Financial Services,Capital Markets
HINDCOMPOS,Consumer Cyclical,Auto Parts
BOSCHLTD,Consumer Cyclical,Auto Parts
DEVX,Real Estate,Real Estate Services
ACCELYA,Technology,Information Technology Services
SRHHYPOLTD,Basic Materials,Chemicals
UNICHEMLAB,Healthcare,Drug Manufacturers - Specialty & Generic
LODHA,Real Estate,Real Estate - Development
ASKAUTOLTD,Consumer Cyclical,Auto Parts
KWIL,Consumer Defensive,Packaged Foods
LGBBROSLTD,Consumer Cyclical,Auto Parts
20MICRONS,Basic Materials,Other Industrial Metals & Mining
SOMICONVEY,Industrials,Specialty Industrial Machinery
DODLA,Consumer Defensive,Food Distribution
NESCO,Industrials,Conglomerates
KRONOX,Basic Materials,Specialty Chemicals
DRCSYSTEMS,Technology,Information Technology Services
CYIENT,Industrials,Conglomerates
TNPETRO,Basic Materials,Specialty Chemicals
IITL,Financial Services,Credit Services
EXIDEIND,Consumer Cyclical,Auto Parts
HEIDELBERG,Basic Materials,Building Materials
AAATECH,Technology,Information Technology Services
DYCL,Industrials,Electrical Equipment & Parts
CORALFINAC,Real Estate,Real Estate Services
DHANUKA,Basic Materials,Agricultural Inputs
INTELLECT,Technology,Software - Application
PROSTARM,Industrials,Electrical Equipment & Parts
VIKRAN,Industrials,Engineering & Construction
MOTILALOFS,Financial Services,Capital Markets
SRGHFL,Financial Services,Mortgage Finance
RSYSTEMS,Technology,Information Technology Services
WAKEFIT,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
NILKAMAL,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
JTLIND,Basic Materials,Steel
AURIGROW,Industrials,Electrical Equipment & Parts
TEMBO,Industrials,Metal Fabrication
ICRA,Financial Services,Financial Data & Stock Exchanges
SREEL,Consumer Cyclical,Footwear & Accessories
DMART,Consumer Defensive,Discount Stores
GODIGIT,Financial Services,Insurance - Property & Casualty
HECPROJECT,Industrials,Engineering & Construction
JUSTDIAL,Communication Services,Internet Content & Information
POWERMECH,Industrials,Engineering & Construction
HDBFS,Financial Services,Credit Services
MONEYBOXX,Financial Services,Credit Services
MONTECARLO,Consumer Cyclical,Apparel Manufacturing
BALMLAWRIE,Industrials,Conglomerates
KPRMILL,Consumer Cyclical,Textile Manufacturing
ORBTEXP,Consumer Cyclical,Textile Manufacturing
SUPREMEINF,Industrials,Engineering & Construction
ASHOKAMET,Basic Materials,Steel
NEWGEN,Technology,Software - Infrastructure
GODREJAGRO,Consumer Defensive,Packaged Foods
INDIGOPNTS,Basic Materials,Specialty Chemicals
BANARISUG,Consumer Defensive,Confectioners
MATRIMONY,Communication Services,Internet Content & Information
TERASOFT,Technology,Information Technology Services
MURUDCERA,Industrials,Building Products & Equipment
IREDA,Financial Services,Credit Services
CONCOR,Industrials,Railroads
AIIL,Financial Services,Capital Markets
JSL,Basic Materials,Steel
PDMJEPAPER,Basic Materials,Paper & Paper Products
APOLLOTYRE,Consumer Cyclical,Auto Parts
XCHANGING,Technology,Information Technology Services
TASTYBITE,Consumer Defensive,Packaged Foods
DCMSHRIRAM,Industrials,Conglomerates
NITCO,Industrials,Building Products & Equipment
PICCADIL,Consumer Defensive,Beverages - Wineries & Distilleries
GUJGASLTD,Utilities,Utilities - Regulated Gas
NDRAUTO,Consumer Cyclical,Auto Parts
BANCOINDIA,Consumer Cyclical,Auto Parts
ASAL,Consumer Cyclical,Auto Parts
MANALIPETC,Basic Materials,Specialty Chemicals
GOACARBON,Basic Materials,Specialty Chemicals
CHOICEIN,Financial Services,Capital Markets
PINELABS,Technology,Software - Infrastructure
GUJTHEM,Healthcare,Drug Manufacturers - Specialty & Generic
VEDL,Basic Materials,Other Industrial Metals & Mining
BLUEJET,Healthcare,Biotechnology
DCM,Industrials,Metal Fabrication
PCBL,Basic Materials,Specialty Chemicals
AVONMORE,Financial Services,Capital Markets
REFEX,Energy,Thermal Coal
PUNJABCHEM,Basic Materials,Chemicals
WINDLAS,Healthcare,Drug Manufacturers - Specialty & Generic
BOSCH-HCIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
IGL,Utilities,Utilities - Regulated Gas
WONDERLA,Consumer Cyclical,Leisure
HYUNDAI,Consumer Cyclical,Auto Manufacturers
FMGOETZE,Consumer Cyclical,Auto Parts
HAPPSTMNDS,Technology,Information Technology Services
SKFINDIA,Industrials,Tools & Accessories
BEL,Industrials,Aerospace & Defense
JYOTHYLAB,Consumer Defensive,Household & Personal Products
INDOTHAI,Financial Services,Capital Markets
QUICKHEAL,Technology,Software - Application
DIXON,Technology,Consumer Electronics
LANCORHOL,Real Estate,Real Estate - Development
JSWCEMENT,Basic Materials,Building Materials
SERVOTECH,Industrials,Electrical Equipment & Parts
SPMLINFRA,Industrials,Engineering & Construction
STERTOOLS,Industrials,Tools & Accessories
UNIECOM,Technology,Software - Application
MOLDTECH,Industrials,Engineering & Construction
PLATIND,Basic Materials,Specialty Chemicals
BETA,Healthcare,Drug Manufacturers - Specialty & Generic
SIGMA,Technology,Information Technology Services
KSCL,Basic Materials,Agricultural Inputs
CHOLAHLDNG,Financial Services,Credit Services
AFSL,Financial Services,Capital Markets
HIKAL,Healthcare,Drug Manufacturers - Specialty & Generic
NUVOCO,Basic Materials,Building Materials
PPAP,Consumer Cyclical,Auto Parts
GRAVITA,Industrials,Metal Fabrication
JAGRAN,Communication Services,Publishing
ORIENTCER,Basic Materials,Specialty Chemicals
RKSWAMY,Communication Services,Advertising Agencies
AVTNPL,Basic Materials,Specialty Chemicals
VGL,Consumer Cyclical,Textile Manufacturing
INDRAMEDCO,Healthcare,Medical Care Facilities
AFFLE,Communication Services,Advertising Agencies
URBANCO,Technology,Software - Application
ICICIGI,Financial Services,Insurance - Diversified
GOCLCORP,Basic Materials,Specialty Chemicals
TARSONS,Healthcare,Medical Instruments & Supplies
JUBLPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic
AUTOAXLES,Consumer Cyclical,Auto Parts
GATEWAY,Industrials,Integrated Freight & Logistics
JAICORPLTD,Basic Materials,Specialty Chemicals
SHARDACROP,Basic Materials,Agricultural Inputs
SMLT,Industrials,Metal Fabrication
CRIZAC,Consumer Defensive,Education & Training Services
EUROBOND,Industrials,Building Products & Equipment
MANINFRA,Industrials,Engineering & Construction
KOTHARIPRO,Industrials,Conglomerates
PCJEWELLER,Consumer Cyclical,Luxury Goods
SHREEPUSHK,Basic Materials,Specialty Chemicals
NIACL,Financial Services,Insurance - Diversified
HUDCO,Financial Services,Credit Services
SAKSOFT,Technology,Information Technology Services
MOIL,Basic Materials,Other Industrial Metals & Mining
SMARTWORKS,Real Estate,Real Estate Services
EIHOTEL,Consumer Cyclical,Lodging
BAJFINANCE,Financial Services,Credit Services
GTPL,Communication Services,Entertainment
DSFCL,Basic Materials,Specialty Chemicals
MAZDOCK,Industrials,Aerospace & Defense
PRITIKAUTO,Industrials,Specialty Industrial Machinery
BIRLACORPN,Basic Materials,Building Materials
GIPCL,Utilities,Utilities - Regulated Electric
BFINVEST,Financial Services,Asset Management
ZAGGLE,Technology,Software - Infrastructure
SBICARD,Financial Services,Credit Services
METROBRAND,Consumer Cyclical,Apparel Retail
HCC,Industrials,Engineering & Construction
PROTEAN,Technology,Information Technology Services
AVANTEL,Technology,Communication Equipment
NIITLTD,Consumer Defensive,Education & Training Services
LORDSCHLO,Basic Materials,Chemicals
BLUESTONE,Consumer Cyclical,Luxury Goods
HPL,Industrials,Electrical Equipment & Parts
ASTRAZEN,Healthcare,Drug Manufacturers - Specialty & Generic
PRESTIGE,Real Estate,Real Estate - Diversified
GILLETTE,Consumer Defensive,Household & Personal Products
INDNIPPON,Consumer Cyclical,Auto Parts
GODREJPROP,Real Estate,Real Estate - Development
CLSEL,Consumer Defensive,Packaged Foods
KOTAKBANK,Financial Services,Banks - Regional
BANARBEADS,Consumer Cyclical,Footwear & Accessories
ADSL,Technology,Information Technology Services
WENDT,Industrials,Tools & Accessories
ACE,Industrials,Farm & Heavy Construction Machinery
KRYSTAL,Industrials,Specialty Business Services
SILINV,Financial Services,Asset Management
STALLION,Basic Materials,Specialty Chemicals
EPACK,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
GFLLIMITED,Financial Services,Asset Management
EICHERMOT,Consumer Cyclical,Auto Manufacturers
SUNDROP,Consumer Defensive,Packaged Foods
EKC,Industrials,Specialty Industrial Machinery
UDS,Industrials,Specialty Business Services
CPEDU,Consumer Defensive,Education & Training Services
WAAREERTL,Utilities,Utilities - Renewable
RELIANCE,Energy,Oil & Gas Refining & Marketing
POLYMED,Healthcare,Medical Instruments & Supplies
SKFINDUS,Industrials,Tools & Accessories
SWELECTES,Technology,Solar
SPIC,Basic Materials,Agricultural Inputs
ITDC,Consumer Cyclical,Lodging
KKCL,Consumer Cyclical,Apparel Manufacturing
SIYSIL,Consumer Cyclical,Textile Manufacturing
GICHSGFIN,Financial Services,Mortgage Finance
OLECTRA,Industrials,Farm & Heavy Construction Machinery
MANAKSIA,Industrials,Metal Fabrication
EMAMIPAP,Basic Materials,Paper & Paper Products
AVG,Industrials,Integrated Freight & Logistics
ROML,Consumer Defensive,Packaged Foods
MAZDA,Industrials,Specialty Industrial Machinery
SINCLAIR,Consumer Cyclical,Lodging
GKWLIMITED,Industrials,Specialty Business Services
ANMOL,Energy,Thermal Coal
TICL,Industrials,Engineering & Construction
KARMAENG,Utilities,Utilities - Renewable
BHARATRAS,Basic Materials,Agricultural Inputs
EIHAHOTELS,Consumer Cyclical,Lodging
HAVELLS,Industrials,Electrical Equipment & Parts
ROSSELLIND,Industrials,Conglomerates
SAMHI,Consumer Cyclical,Lodging
IRCTC,Consumer Cyclical,Travel Services
VARROC,Consumer Cyclical,Auto Parts
PGEL,Technology,Electronic Components
HITECH,Basic Materials,Steel
ADROITINFO,Technology,Information Technology Services
HATSUN,Consumer Defensive,Packaged Foods
AMBUJACEM,Basic Materials,Building Materials
VMART,Consumer Cyclical,Department Stores
63MOONS,Technology,Software - Application
ASIANHOTNR,Consumer Cyclical,Lodging
KNAGRI,Consumer Defensive,Farm Products
