symbol,sector,industry
PRUDMOULI,Consumer Defensive,Confectioners
PRAENG,Real Estate,Real Estate - Development
REGENCERAM,Industrials,Building Products & Equipment
SVLL,Industrials,Trucking
XTGLOBAL,Technology,Software - Application
NAVKARURB,Basic Materials,Building Materials
FINOPB,Financial Services,Banks - Regional
RPOWER,Utilities,Utilities - Independent Power Producers
THEJO,Industrials,Specialty Industrial Machinery
UMAEXPORTS,Consumer Defensive,Farm Products
DCMSRIND,Consumer Defensive,Confectioners
ORIENTCEM,Basic Materials,Building Materials
ORIENTALTL,Industrials,Building Products & Equipment
BTML,Communication Services,Entertainment
WEL,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
HLEGLAS,Industrials,Specialty Industrial Machinery
PPL,Industrials,Building Products & Equipment
RAYMONDLSL,Consumer Cyclical,Apparel Manufacturing
LMW,Industrials,Specialty Industrial Machinery
HINDWAREAP,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
MADHAV,Industrials,Building Products & Equipment
RVNL,Industrials,Engineering & Construction
BRIGADE,Real Estate,Real Estate - Development
TTL,Consumer Cyclical,Textile Manufacturing
TVSSCS,Industrials,Integrated Freight & Logistics
LASA,Healthcare,Drug Manufacturers - Specialty & Generic
GOKEX,Consumer Cyclical,Apparel Manufacturing
RKDL,Consumer Defensive,Beverages - Wineries & Distilleries
NETWORK18,Communication Services,Entertainment
NILAINFRA,Real Estate,Real Estate - Development
SURAJLTD,Basic Materials,Steel
SUVIDHAA,Technology,Information Technology Services
LIBERTSHOE,Consumer Cyclical,Footwear & Accessories
REPL,Industrials,Consulting Services
MANOMAY,Consumer Cyclical,Textile Manufacturing
TOUCHWOOD,Communication Services,Advertising Agencies
TRIDENT,Consumer Cyclical,Textile Manufacturing
GOYALALUM,Basic Materials,Aluminum
HAVISHA,Consumer Cyclical,Lodging
RADIOCITY,Communication Services,Broadcasting
TIPSFILMS,Communication Services,Entertainment
ABFRL,Consumer Cyclical,Apparel Manufacturing
ARENTERP,Basic Materials,Other Industrial Metals & Mining
OMAXE,Real Estate,Real Estate - Development
GILLANDERS,Consumer Defensive,Farm Products
AFCONS,Industrials,Engineering & Construction
CENTRUM,Financial Services,Financial Conglomerates
TRACXN,Technology,Software - Application
BIRLANU,Industrials,Building Products & Equipment
3PLAND,Unknown,Unknown
PFS,Financial Services,Credit Services
ALBERTDAVD,Healthcare,Drug Manufacturers - Specialty & Generic
AKG,Industrials,Industrial Distribution
SRD,Basic Materials,Specialty Chemicals
MAPMYINDIA,Technology,Software - Infrastructure
ORIENTLTD,Consumer Cyclical,Packaging & Containers
HEADSUP,Consumer Cyclical,Apparel Retail
AWHCL,Industrials,Waste Management
LAL,Consumer Cyclical,Apparel Manufacturing
FOODSIN,Consumer Defensive,Packaged Foods
LGHL,Consumer Cyclical,Luxury Goods
BDL,Industrials,Aerospace & Defense
MUTHOOTCAP,Financial Services,Credit Services
MFSL,Financial Services,Insurance - Life
TOTAL,Industrials,Integrated Freight & Logistics
MALUPAPER,Basic Materials,Paper & Paper Products
ENERGYDEV,Utilities,Utilities - Regulated Electric
GENCON,Industrials,Engineering & Construction
TVSSRICHAK,Consumer Cyclical,Auto Parts
UFLEX,Consumer Cyclical,Packaging & Containers
RADAAN,Communication Services,Entertainment
ABLBL,Consumer Cyclical,Apparel Retail
SALASAR,Basic Materials,Steel
AMBER,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
KAYNES,Technology,Electronic Components
RPPINFRA,Industrials,Engineering & Construction
ALLCARGO,Industrials,Integrated Freight & Logistics
RAMASTEEL,Basic Materials,Steel
SANOFI,Healthcare,Drug Manufacturers - General
ACI,Basic Materials,Chemicals
RAJTV,Communication Services,Broadcasting
KRITIKA,Basic Materials,Steel
GVPTECH,Technology,Information Technology Services
DANGEE,Consumer Cyclical,Restaurants
MODTHREAD,Consumer Cyclical,Textile Manufacturing
BEARDSELL,Industrials,Building Products & Equipment
HCL-INSYS,Technology,Electronics & Computer Distribution
ROHLTD,Consumer Cyclical,Lodging
GUJAPOLLO,Industrials,Specialty Industrial Machinery
LYPSAGEMS,Consumer Cyclical,Luxury Goods
CUBEXTUB,Basic Materials,Copper
DGCONTENT,Communication Services,Internet Content & Information
DHUNINV,Financial Services,Capital Markets
RUSHIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
ACCURACY,Industrials,Integrated Freight & Logistics
TECILCHEM,Financial Services,Shell Companies
A2ZINFRA,Industrials,Engineering & Construction
MAGNUM,Basic Materials,Paper & Paper Products
INDORAMA,Consumer Cyclical,Textile Manufacturing
VASWANI,Basic Materials,Steel
ARIHANTSUP,Real Estate,Real Estate - Development
JKIL,Industrials,Engineering & Construction
JINDALPHOT,Financial Services,Asset Management
ZUARI,Basic Materials,Agricultural Inputs
NCC,Industrials,Engineering & Construction
ONMOBILE,Communication Services,Telecom Services
SESHAPAPER,Basic Materials,Paper & Paper Products
OSWALSEEDS,Basic Materials,Agricultural Inputs
